BTC,Gold,Oil
-8.080519847,0.001592991,-0.015167184
-3.966630786,0.0061218,-0.014795474
-6.949824261,-0.000948317,0.005996473
10.72014439,0.003795066,0.002624672
1.685743405,0.001418663,-0.00366045
10.09840343,0.006691333,0.002792321
8.623590152,0.006645817,0.00745751
-2.257083298,0.002795465,0.005860048
1.066795486,0.004024768,0.004466586
3.556585081,0.009094412,0.003081664
1.922401457,0.00827396,0.026883562
-1.132177939,-0.000379075,-0.002508781
1.419215458,0.00463702,0.005207458
-2.587625698,-0.001585624,0.008512769
1.471701266,-0.001059162,-0.000331895
6.892992865,-0.005676658,0.00282392
4.919287727,0.004568644,0.020533201
5.718667835,0.003795066,0.000806972
2.557512953,-0.001794661,-0.007431341
-2.110886459,-0.002833918,0.001947736
1.559474312,0.000149365,0.016795866
9.616651418,-0.00015067,0.002523261
1.067003,0.004596835,0.004724409
2.409680547,-0.001574213,0.011483404
4.035588483,0.002775694,-0.002173238
0.79247071,0.011291041,0.007000622
15.79355445,0.003889337,-0.010864504
22.05583687,0.00332668,0.001252152
-4.065148705,-0.006352959,-0.001872951
-7.430919395,-0.00297619,-0.005804832
1.675445596,0.000968848,-0.001886496
11.13301855,-0.000222519,0.009236068
-1.268354424,-0.01101908,0.018472524
-2.015779817,0.001423648,-0.005616272
1.828551629,-0.010125828,0.013639847
7.202085191,-0.009045681,-0.009368389
9.053303655,-0.001287196,-0.015717992
-1.270189597,-0.004012112,0.010932375
-0.046382189,0.007060967,0.016059296
-8.278687438,0.004075472,-0.008183058
-4.661524585,0.019596066,-0.014592934
-5.994228337,0.001699926,-0.000630616
-14.09962466,0.004443786,-0.033322904
-0.199675686,-0.013121803,-0.0089141
1.503759398,0.000676082,-0.020354129
1.476592593,0.004901222,0.002875507
14.52383837,-0.002549299,-0.002695872
-1.591281466,0.001803969,0.027466938
-8.265604655,-0.012164902,0.010377203
1.265992166,-0.000758208,0.00374288
-13.48481361,-0.010687486,0.003414079
11.10772695,0.004097117,0.010857235
-2.447204471,-0.00377387,0.004380983
9.661743695,0.010749432,0.000811293
1.562355344,-0.008883912,0.023312683
0.938569698,-0.003393153,0.015175719
12.62208192,0.000982838,0.004874214
0.645032337,-0.002492259,-0.016390884
-5.388232661,0.002871609,-0.018315018
-8.115926838,-0.000829125,-0.009098294
-3.372176824,-0.005208727,-0.001467232
3.514269842,-0.003417375,0.016571893
-11.38701473,0.003732196,0.000319591
3.786230735,-0.003494113,-0.018459069
3.345830348,0.008316801,-0.019729333
-5.172484166,-0.003587444,0.029367845
0.459638611,0.015125421,-0.011916264
-19.25925926,0.00762624,-0.01075444
0.814679646,-0.002368441,0.001478561
-0.096786629,-0.015616905,0.003937654
4.698722628,-0.001504551,0.018793921
11.5465125,0.01242236,-0.002731801
-9.920467507,-0.005724907,0.020933977
-6.677797051,0.002618389,0.022755807
0.36366002,-0.00643183,-0.018320611
5.100869143,0.004813116,0.024891101
-1.539124367,0.001569507,-0.005311077
-0.855633142,0.004552918,-0.004272852
3.625214176,0.012582831,-0.004945904
3.304092703,-0.01061712,0.003864585
-5.294214201,0.007700359,-0.029271299
